code	diisplay	definition
2060-2	African	African
2067-7	Bahamian	Bahamian
2068-5	Barbadian	Barbadian
2069-3	Dominican	Dominican
2070-1	Dominica Islander	Dominica Islander
2071-9	Haitian	Haitian
2072-7	Jamaican	Jamaican
2073-5	Tobagoan	Tobagoan
2074-3	Trinidadian	Trinidadian
2075-0	West Indian	West Indian
2061-0	Botswanan	Botswanan
2062-8	Ethiopian	Ethiopian
2063-6	Liberian	Liberian
2064-4	Namibian	Namibian
2065-1	Nigerian	Nigerian
2066-9	Zairean	Zairean
2078-4	Polynesian	Polynesian
2085-9	Micronesian	Micronesian
2100-6	Melanesian	Melanesian
2500-7	Other Pacific Islander	Other Pacific Islander
2079-2	Native Hawaiian	Native Hawaiian
2080-0	Samoan	Samoan
2081-8	Tahitian	Tahitian
2082-6	Tongan	Tongan
2083-4	Tokelauan	Tokelauan
2086-7	Guamanian or Chamorro	Guamanian or Chamorro
2087-5	Guamanian	Guamanian
2088-3	Chamorro	Chamorro
2089-1	Mariana Islander	Mariana Islander
2090-9	Marshallese	Marshallese
2091-7	Palauan	Palauan
2092-5	Carolinian	Carolinian
2093-3	Kosraean	Kosraean
2094-1	Pohnpeian	Pohnpeian
2095-8	Saipanese	Saipanese
2096-6	Kiribati	Kiribati
2097-4	Chuukese	Chuukese
2098-2	Yapese	Yapese
2101-4	Fijian	Fijian
2102-2	Papua New Guinean	Papua New Guinean
2103-0	Solomon Islander	Solomon Islander
2104-8	New Hebrides	New Hebrides
2108-9	European	European
2118-8	Middle Eastern or North African	Middle Eastern or North African
2129-5	Arab	Arab
2109-7	Armenian	Armenian
2110-5	English	English
2111-3	French	French
2112-1	German	German
2113-9	Irish	Irish
2114-7	Italian	Italian
2115-4	Polish	Polish
2116-2	Scottish	Scottish
2119-6	Assyrian	Assyrian
2120-4	Egyptian	Egyptian
2121-2	Iranian	Iranian
2122-0	Iraqi	Iraqi
2123-8	Lebanese	Lebanese
2124-6	Palestinian	Palestinian
2125-3	Syrian	Syrian
2126-1	Afghanistani	Afghanistani
2127-9	Israeili	Israeili
2131-1	Other Race	Note that this term remains in the table for completeness, even though within HL7, the notion of Other code is deprecated.
